C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,kontrolka,,ferryt,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,
3.82,2.4,0.03,0,0,2.9,0,1.6,24,0,5,3,0,92,0,0,AF,1.136730,2.19881,0.06462,100.0000,0.10354,0.313789,103.81748,0,1,2,0,96,0,0,100,,0.000577,0.000577,1.136730,2.19881,0.06462,100.0000,0.10354,0.313789,103.81806
3.64,2.42,0.03,0,0,0,0,2.44,3,0,36,37,0,27,0,0,AF,6.266265,46.27979,0.99723,100.0000,0.01358,0.000022,153.55688,0,4,30,1,65,0,0,100,,0.130560,0.130560,6.266265,46.27979,0.99723,100.0000,0.01358,0.000022,153.68744
3.64,2.42,0.03,0,0,0,0,2.44,6,3,12,8,0,77,0,0,AF,7.296475,14.49746,0.86128,100.0000,0.02192,0.000019,122.67715,0,6,12,1,82,0,0,100,,0.265286,0.265286,7.296475,14.49746,0.86128,100.0000,0.02192,0.000019,122.94244
3.64,2.42,0.03,0,0,0,0,2.44,12,5,8,6,0,81,0,0,AF,7.960012,5.11672,0.76075,100.0000,0.02792,0.000019,113.86543,0,7,4,1,88,0,0,100,,0.362353,0.362353,7.960012,5.11672,0.76075,100.0000,0.02792,0.000019,114.22778
3.64,2.42,0.03,0,0,0,0,2.44,24,6,11,8,0,75,0,0,AF,8.209698,4.84530,0.64910,100.0000,0.02835,0.000024,113.73248,0,7,4,1,88,0,0,100,,0.305457,0.305457,8.209698,4.84530,0.64910,100.0000,0.02835,0.000024,114.03793
3.37,2.39,0.04,0,0,4.94,0,2.27,3,0,4,31,0,60,0,5,AF,1.513756,8.08186,0.12994,100.0000,0.35651,4.585057,114.66712,0,1,7,0,87,0,4,100,,0.000044,0.000044,1.513756,8.08186,0.12994,100.0000,0.35651,4.585057,114.66716
3.37,2.39,0.04,0,0,4.94,0,2.27,6,0,4,8,0,83,0,5,AF,1.545049,7.71263,0.11535,100.0000,0.35258,4.634978,114.36059,0,1,7,0,87,0,4,100,,0.000039,0.000039,1.545049,7.71263,0.11535,100.0000,0.35258,4.634978,114.36063
3.37,2.39,0.04,0,0,4.94,0,2.27,12,0,3,8,0,84,0,5,AF,1.605299,7.58563,0.09187,100.0000,0.33600,4.706860,114.32566,0,1,7,0,87,0,4,100,,0.000031,0.000031,1.605299,7.58563,0.09187,100.0000,0.33600,4.706860,114.32569
3.37,2.39,0.04,0,0,4.94,0,2.27,24,0,3,7,0,85,0,5,AF,1.738854,7.36479,0.05931,100.0000,0.29213,4.772713,114.22779,0,2,6,0,88,0,4,100,,0.000022,0.000022,1.738854,7.36479,0.05931,100.0000,0.29213,4.772713,114.22782
2.98,2.51,0.05,0,0,0,0.97,1.91,3,0,10,17,0,73,0,0,AF,7.288736,7.56762,0.74713,100.0000,0.02622,0.000042,115.62974,0,6,7,1,86,0,0,100,,0.217887,0.217887,7.288736,7.56762,0.74713,100.0000,0.02622,0.000042,115.84763
2.98,2.51,0.05,0,0,0,0.97,1.91,6,1,1,4,0,94,0,0,AF,7.432727,5.07547,0.68573,100.0000,0.02812,0.000044,113.22209,0,7,4,1,88,0,0,100,,0.231542,0.231542,7.432727,5.07547,0.68573,100.0000,0.02812,0.000044,113.45363
2.98,2.51,0.05,0,0,0,0.97,1.91,12,1,1,4,0,94,0,0,AF,7.356911,4.35232,0.59229,100.0000,0.02813,0.000052,112.32971,0,7,4,1,89,0,0,100,,0.203177,0.203177,7.356911,4.35232,0.59229,100.0000,0.02813,0.000052,112.53288
2.98,2.51,0.05,0,0,0,0.97,1.91,24,2,1,4,0,93,0,0,AF,6.939061,4.01924,0.42270,100.0000,0.02742,0.000090,111.40850,0,6,4,0,90,0,0,100,,0.129108,0.129108,6.939061,4.01924,0.42270,100.0000,0.02742,0.000090,111.53761
3.31,2.47,0.04,0,0,0,1.44,1.83,3,0,0,0,0,100,0,0,AF,6.749238,11.74038,0.77039,100.0000,0.02980,0.000036,119.28985,0,6,10,1,84,0,0,100,,0.175032,0.175032,6.749238,11.74038,0.77039,100.0000,0.02980,0.000036,119.46488
3.31,2.47,0.04,0,0,0,1.44,1.83,6,0,0,1,0,99,0,0,AF,7.013156,5.96153,0.69278,100.0000,0.03427,0.000036,113.70178,0,6,5,1,88,0,0,100,,0.207833,0.207833,7.013156,5.96153,0.69278,100.0000,0.03427,0.000036,113.90961
3.31,2.47,0.04,0,0,0,1.44,1.83,12,0,0,2,0,98,0,0,AF,6.945600,4.56330,0.59055,100.0000,0.03511,0.000042,112.13461,0,6,4,1,89,0,0,100,,0.190552,0.190552,6.945600,4.56330,0.59055,100.0000,0.03511,0.000042,112.32516
3.31,2.47,0.04,0,0,0,1.44,1.83,24,0,0,2,0,98,0,0,AF,6.440828,4.13688,0.41446,100.0000,0.03443,0.000070,111.02667,0,6,4,0,90,0,0,100,,0.123027,0.123027,6.440828,4.13688,0.41446,100.0000,0.03443,0.000070,111.14970
3.57,2.49,0.02,0,0,0,1.93,1.77,3,0,0,4,0,96,0,0,AF,6.325410,18.15037,0.86223,100.0000,0.03626,0.000034,125.37431,0,5,14,1,80,0,0,100,,0.131673,0.131673,6.325410,18.15037,0.86223,100.0000,0.03626,0.000034,125.50598
3.57,2.49,0.02,0,0,0,1.93,1.77,6,0,0,2,0,98,0,0,AF,6.704315,7.26491,0.75860,100.0000,0.04469,0.000033,114.77254,0,6,6,1,87,0,0,100,,0.175191,0.175191,6.704315,7.26491,0.75860,100.0000,0.04469,0.000033,114.94774
3.57,2.49,0.02,0,0,0,1.93,1.77,12,0,0,1,0,99,0,0,AF,6.650857,4.85783,0.63671,100.0000,0.04683,0.000038,112.19226,0,6,4,1,89,0,0,100,,0.168619,0.168619,6.650857,4.85783,0.63671,100.0000,0.04683,0.000038,112.36088
3.57,2.49,0.02,0,0,0,1.93,1.77,24,0,0,0,0,100,0,0,AF,6.046856,4.25934,0.44029,100.0000,0.04566,0.000060,110.79221,0,5,4,0,90,0,0,100,,0.109589,0.109589,6.046856,4.25934,0.44029,100.0000,0.04566,0.000060,110.90180
3.37,2.39,0.06,0,0,0,2.17,1.7,3,0,0,8,2,90,0,0,AF,6.583446,12.00259,0.68772,100.0000,0.03734,0.000039,119.31114,0,6,10,1,84,0,0,100,,0.141063,0.141063,6.583446,12.00259,0.68772,100.0000,0.03734,0.000039,119.45220
3.37,2.39,0.06,0,0,0,2.17,1.7,6,0,0,2,0,98,0,0,AF,6.808761,6.20158,0.61151,100.0000,0.04262,0.000040,113.66452,0,6,5,1,88,0,0,100,,0.164204,0.164204,6.808761,6.20158,0.61151,100.0000,0.04262,0.000040,113.82872
3.37,2.39,0.06,0,0,0,2.17,1.7,12,0,0,1,0,99,0,0,AF,6.682655,4.74746,0.50724,100.0000,0.04357,0.000049,111.98098,0,6,4,0,89,0,0,100,,0.145825,0.145825,6.682655,4.74746,0.50724,100.0000,0.04357,0.000049,112.12680
3.37,2.39,0.06,0,0,0,2.17,1.7,24,0,0,3,4,93,0,0,AF,6.061580,4.23647,0.33328,100.0000,0.04302,0.000087,110.67444,0,5,4,0,90,0,0,100,,0.087876,0.087876,6.061580,4.23647,0.33328,100.0000,0.04302,0.000087,110.76231
3.66,2.49,0.04,0,0,0,2.47,1.8,3,0,3,34,3,60,0,0,AF,6.400401,23.82564,0.89736,100.0000,0.04007,0.000035,131.16350,0,5,18,1,76,0,0,100,,0.107041,0.107041,6.400401,23.82564,0.89736,100.0000,0.04007,0.000035,131.27054
3.66,2.49,0.04,0,0,0,2.47,1.8,6,0,6,16,3,75,0,0,AF,6.899740,8.66566,0.77977,100.0000,0.05156,0.000034,116.39676,0,6,7,1,86,0,0,100,,0.152214,0.152214,6.899740,8.66566,0.77977,100.0000,0.05156,0.000034,116.54898
